 t   u   y   y_sim
   25.500000000000000       -1.4797218202364772       -6.6412212644221027       -6.7597941249538289     
   25.600000000000001       -1.4250931744391209       -6.4437474746582710       -6.5474590487514686     
   25.700000000000003       -1.3706312297068968       -6.3440573648981502       -6.3338127515240137     
   25.800000000000001       -1.3164608782787495       -6.1897073198571748       -6.1193586464022891     
   25.900000000000002       -1.2627054020214572       -5.7962042568275365       -5.9045985175485365     
   26.000000000000000       -1.2094861729990014       -5.8232250417698248       -5.6900312960685682     
   26.100000000000001       -1.1569223591036144       -5.6220461836058115       -5.4761518442645265     
   26.200000000000003       -1.1051306354803545       -5.5363139544386684       -5.2634497512526837     
   26.300000000000001       -1.0542249024623591       -5.0251677767031415       -5.0524081429421717     
   26.400000000000002       -1.0043160107176217       -4.6918471468341334       -4.8435025093339039     
   26.500000000000000      -0.95551149429000060       -4.6897293655510657       -4.6371995520554332     
   26.600000000000001      -0.90791531219727162       -4.4905276198084740       -4.4339560549963135     
   26.700000000000003      -0.86162759922765553       -4.1362498340844169       -4.2342177808504609     
   26.800000000000001      -0.81674442655304591       -3.8642746250122171       -4.0384183963068470     
   26.900000000000002      -0.77335757275261574       -3.5300876677620674       -3.8469784285577018     
   27.000000000000000      -0.73155430581433079       -3.4070783121379939       -3.6603042557149048     
   27.100000000000001      -0.69141717665435121       -3.5035580712504739       -3.4787871336399458     
   27.200000000000003      -0.65302382466546538       -3.4803449641125543       -3.3028022616014763     
   27.300000000000001      -0.61644679577550121       -3.1774355343834104       -3.1327078890770723     
   27.400000000000002      -0.58175337346532308       -2.9251646967486433       -2.9688444659125350     
   27.500000000000000      -0.54900542316356771       -2.9020311306510145       -2.8115338379433763     
   27.600000000000001      -0.51825925040169696       -2.5925834736256075       -2.6610784900691389     
   27.700000000000003      -0.48956547307854748       -2.6497978529285557       -2.5177608386521659     
   27.800000000000001      -0.46296890814813640       -2.5779461905066090       -2.3818425749889292     
   27.900000000000002      -0.43850847300840801       -2.3511608326718298       -2.2535640614738948     
   28.000000000000000      -0.41621710183177674       -2.1273619418853471       -2.1331437819439696     
   28.100000000000001      -0.39612167704087531       -1.8945765273398609       -2.0207778475557951     
   28.200000000000003      -0.37824297609504220       -1.6130297557462581       -1.9166395594090120     
   28.300000000000001      -0.36259563371469195       -1.4886665038887896       -1.8208790289865433     
   28.400000000000002      -0.34918811963210550       -1.7383966093183014       -1.7336228573380650     
   28.500000000000000      -0.33802273191828403       -1.4514147020775252       -1.6549738737857678     
   28.600000000000001      -0.32909560589651687       -1.6492651044125599       -1.5850109347824590     
   28.700000000000003      -0.32239673861431783       -1.3281103766564464       -1.5237887834014068     
   28.800000000000001      -0.31791002880641173       -1.3433532581837588       -1.4713379697855615     
   28.900000000000002      -0.31561333224270993       -1.3698225975748117       -1.4276648327311403     
   29.000000000000000      -0.31547853231668743       -1.1746683254748622       -1.3927515424275545     
   29.100000000000001      -0.31747162569144705       -1.4114387363684187       -1.3665562042225223     
   29.200000000000003      -0.32155282278307162       -1.1498048004426860       -1.3490130231285242     
   29.300000000000001      -0.32767666282372476       -1.4994072339230611       -1.3400325286346613     
   29.400000000000002      -0.33579214321050854       -1.2515312259916338       -1.3395018592370886     
   29.500000000000000      -0.34584286281030041       -1.2132598772586842       -1.3472851059517383     
   29.600000000000001      -0.35776717885591991       -1.0780986057000894       -1.3632237139254082     
   29.700000000000003      -0.37149837703493527       -1.0735678589317068       -1.3871369411159589     
   29.800000000000001      -0.38696485433943295       -1.2606320482445299       -1.4188223728695220     
   29.900000000000002      -0.40409031421315922       -1.4008019289381020       -1.4580564910827671     
   30.000000000000000      -0.42279397350164638       -1.5857378320050963       -1.5045952965017335     
   30.100000000000001      -0.44299078068146847       -1.6841815835663694       -1.5581749825757272     
   30.200000000000003      -0.46459164481650284       -1.8295869835597016       -1.6185126591558918     
   30.300000000000001      -0.48750367466228628       -1.9081028705994154       -1.6853071242032873     
   30.400000000000002      -0.51163042731416752       -1.9897934913544475       -1.7582396815512673     
   30.500000000000000      -0.53687216577106089       -1.7870149250042053       -1.8369750026517520     
   30.600000000000001      -0.56312612476437862       -2.0031902269355375       -1.9211620301249115     
   30.700000000000003      -0.59028678418097846       -1.9021394426433900       -2.0104349208273495     
   30.800000000000001      -0.61824614939004352       -1.9795023272487846       -2.1044140260549060     
   30.900000000000002      -0.64689403776652143       -2.2120972354373816       -2.2027069064034546     
   31.000000000000000      -0.67611837068825464       -2.0857610131360116       -2.3049093787243491     
   31.100000000000001      -0.70580547027030660       -2.4329955954892228       -2.4106065925309310     
   31.200000000000003      -0.73584036008809095       -2.4868399345542054       -2.5193741331389319     
   31.300000000000001      -0.76610706913100601       -2.6447315398336371       -2.6307791487567371     
   31.400000000000002      -0.79648893822019129       -2.7845591185028562       -2.7443814986816450     
   31.500000000000000      -0.82686892811785961       -2.7951645603846429       -2.8597349197055406     
   31.600000000000001      -0.85712992855151082       -3.0523466582837919       -2.9763882077878723     
   31.700000000000003      -0.88715506737398797       -2.9336421301102749       -3.0938864120157707     
   31.800000000000001      -0.91682801908009059       -2.9775795549729605       -3.2117720378404191     
   31.900000000000002      -0.94603331190205497       -3.1608961709349641       -3.3295862565557255     
   32.000000000000000      -0.97465663270978897       -3.4796124456656283       -3.4468701179697945     
   32.100000000000001       -1.0025851289473127       -3.6892481755426152       -3.5631657632117544     
   32.200000000000003       -1.0297077068442346       -3.7726527317308016       -3.6780176346163738     
   32.300000000000004       -1.0559153251504956       -3.9840519877702025       -3.7909736796361639     
   32.399999999999999       -1.0811012836538063       -3.9242940291209001       -3.9015865457458290     
   32.500000000000000       -1.1051615057523168       -3.8809875710272901       -4.0094147633265074     
   32.600000000000001       -1.1279948143699068       -4.0638362274945878       -4.1140239135474470     
   32.700000000000003       -1.1495032005182533       -4.0570376080004582       -4.2149877783003680     
   32.800000000000004       -1.1695920838281870       -4.2581294597014523       -4.3118894692868732     
   32.899999999999999       -1.1881705643930072       -4.3405364824376953       -4.4043225334114435     
   33.000000000000000       -1.2051516652882022       -4.4053760938353665       -4.4918920316920090     
   33.100000000000001       -1.2204525651553451       -4.3876960860226006       -4.5742155889664593     
   33.200000000000003       -1.2339948202628905       -4.4642999591283576       -4.6509244117466348     
   33.300000000000004       -1.2457045754828948       -4.5212873417733661       -4.7216642716512087     
   33.399999999999999       -1.2555127636504975       -4.6056643228406937       -4.7860964519350553     
   33.500000000000000       -1.2633552928020917       -4.6844573497014856       -4.8438986547252147     
   33.600000000000001       -1.2691732208184536       -4.7067335819244143       -4.8947658666720359     
   33.700000000000003       -1.2729129170307070       -4.6870404563603634       -4.9384111808281528     
   33.800000000000004       -1.2745262103795958       -4.5838613562195309       -4.9745665726777961     
   33.899999999999999       -1.2739705237522667       -4.6725322742803703       -5.0029836283536335     
   34.000000000000000       -1.2712089941553768       -4.6304015823728442       -5.0234342231982101     
   34.100000000000001       -1.2662105784188094       -4.8354364002267154       -5.0357111489514388     
   34.200000000000003       -1.2589501441605573       -4.9223871738194571       -5.0396286879742735     
   34.300000000000004       -1.2494085457802273       -4.9264293733487463       -5.0350231330514053     
   34.399999999999999       -1.2375726852861491       -5.0456882311197315       -5.0217532514521244     
   34.500000000000000       -1.2234355577990454       -5.0882708849135661       -4.9997006920682026     
   34.600000000000001       -1.2069962816136397       -5.2349301284384904       -4.9687703345901371     
   34.700000000000003       -1.1882601127382322       -5.0581414852220021       -4.9288905798284404     
   34.800000000000004       -1.1672384438711991       -5.2251231671468155       -4.8800135804340306     
   34.899999999999999       -1.1439487878123420       -4.9318256956941795       -4.8221154114210867     
   35.000000000000000       -1.1184147453460180       -4.8708253649602806       -4.7551961800466582     
   35.100000000000001       -1.0906659576719224       -4.7676076425057836       -4.6792800747531018     
   35.200000000000003       -1.0607380434980680       -4.7429259537174708       -4.5944153530322716     
   35.300000000000004       -1.0286725209489909       -4.5429538179266649       -4.5006742682233183     
   35.399999999999999      -0.99451671448025181       -4.5045449599335594       -4.3981529354090245     
   35.500000000000000      -0.95832364702786810       -4.5895859051762651       -4.2869711367282157     
   35.600000000000001      -0.92015191765838000       -4.1662779724506667       -4.1672720665736049     
   35.700000000000003      -0.88006556502151978       -4.1956501799151873       -4.0392220172951525     
   35.800000000000004      -0.83813391694312722       -3.8994372362423304       -3.9030100061780333     
   35.899999999999999      -0.79443142653067267       -3.8139176587910963       -3.7588473446116226     
   36.000000000000000      -0.74903749519755736       -3.6422594327106950       -3.6069671505107901     
   36.100000000000001      -0.70203628304523957       -3.6412647406898526       -3.4476238051930204     
   36.200000000000003      -0.65351650707384712       -3.1421889925163082       -3.2810923560542764     
   36.300000000000004      -0.60357122772257488       -2.9720866588327572       -3.1076678665222843     
   36.399999999999999      -0.55229762427039675       -2.8953775359222980       -2.9276647148982864     
   36.500000000000000      -0.49979675965558812       -2.7135753819458981       -2.7414158438264518     
   36.600000000000001      -0.44617333529917891       -2.7357292269336106       -2.5492719622539952     
   36.700000000000003      -0.39153543654246015       -2.3211005180009279       -2.3516007018643590     
   36.800000000000004      -0.33599426933235588       -2.4155201223434442       -2.1487857300799433     
   36.899999999999999      -0.27966388881041265       -1.9410655545876523       -1.9412258218400131     
   37.000000000000000      -0.22266092048151431       -1.9690613811398272       -1.7293338924629116     
   37.100000000000001      -0.16510427465717892       -1.7319131584546941       -1.5135359939993911     
   37.200000000000003      -0.10711485488509859       -1.4432124889310938       -1.2942702775757824     
   37.300000000000004       -4.8815261091875173E-002  -1.3619504152501360       -1.0719859243109984     
   37.399999999999999        9.6705118208293139E-003 -0.79314957848165324      -0.84714204747062805     
   37.500000000000000        6.8217379175018286E-002 -0.49921937396287602      -0.62020656859365564     
   37.600000000000001       0.12669947474855786      -0.42467258148555664      -0.39165507039288427     
   37.700000000000003       0.18499046127186547      -0.25606374173299418      -0.16196962928886016     
   37.800000000000004       0.24296384241418775        4.0444648548738055E-002   6.8362369511743987E-002
   37.899999999999999       0.30049327548078253       0.21548913213348750       0.29884943143793241     
   38.000000000000000       0.35745288404041642       0.34945364321968647       0.52899716348441517     
   38.100000000000001       0.41371756970255413       0.39655027305487567       0.75830949362859967     
   38.200000000000003       0.46916332226574198       0.65696239492006192       0.98628989569142944     
   38.300000000000004       0.52366752746249512        1.0615304481163599        1.2124426165850484     
   38.400000000000006       0.57710927153195146        1.1451837846201347        1.4362739028835478     
   38.500000000000000       0.62936964185932454        1.6317547373239703        1.6572932236543665     
   38.600000000000001       0.68033202293090922        2.0303784056037633        1.8750144864966791     
   38.700000000000003       0.72988238686490514        2.1551647434878305        2.0889572437495927     
   38.800000000000004       0.77790957779185943        2.5731281931257413        2.2986478858569201     
   38.900000000000006       0.82430558937365994        2.8181204064535690        2.5036208189070397     
   39.000000000000000       0.86896583476708744        2.7196575859777607        2.7034196234052064     
   39.100000000000001       0.91178940835669442        2.8346523598895095        2.8975981913821514     
   39.200000000000003       0.95267933860214959        2.9265803812354974        3.0857218389964389     
   39.300000000000004       0.99154283136737920        3.1952833882255112        3.2673683918486556     
   39.400000000000006        1.0282915031223827        3.6044075638605411        3.4421292402933759     
   39.500000000000000        1.0628416034338475        3.6214726672425783        3.6096103621091236     
   39.600000000000001        1.0951142261873252        3.7977132539964060        3.7694333099677340     
   39.700000000000003        1.1250355090117177        4.1458354485420008        3.9212361612319198     
   39.800000000000004        1.1525368204062691        4.1528715781165566        4.0646744277034887     
   39.900000000000006        1.1775549341007743        4.3455838817117893        4.1994219230442793     
   40.000000000000000        1.2000321902115565        4.5531291275329302        4.3251715856970936     
   40.100000000000001        1.2199166427886361        4.6399924933740397        4.4416362552446671     
   40.200000000000003        1.2371621933833601        4.6320100550300900        4.5485494002605584     
   40.300000000000004        1.2517287103006431        4.6482051983326595        4.6456657958265630     
   40.400000000000006        1.2635821332355743        4.6410273311890284        4.7327621490165779     
   40.500000000000000        1.2726945630305662        4.7359289074425597        4.8096376707763895     
   40.600000000000001        1.2790443363263093        4.9171212747003148        4.8761145927622707     
   40.700000000000003        1.2826160849174000        4.7671929314051136        4.9320386278384731     
